MakroID;Customer;ProfileType;Width;Height;D (Dalma Derinligi);Y (Kenardan Uzaklik);Z (Caprazlar icin diger kenardan uzaklik);C (çap);W (kanal genisligi);L  (KANAL VEYA ?K? DEL?K ARASI;YAKLAŞMA;MakroTyp;R(RADIUS);FEED ;Aciklama
11210601;IDEAL 2000 120303 ;FRAME;80;60;0;26.5;50.5;0;5;25;50;P01;0;2000;SU TAHLIYE KANAL // WATER SLOT// DESAGÜE INTERIOR APERTURA INTERIOR
11210617;IDEAL 2000 120303 ;FRAME;80;60;0;26.5;50.5;0;0;0;15;P06;0;1000;HAVALANDIRMA // VENTILATION HOLE// AIREACION INTERIOR APERTURA INTERIOR
11211001;IDEAL 2000 120303 ;FRAME;80;60;8;40.6;0;0;5;25;15;P01;0;2000; SU TAHLIYE KANAL // WATER SLOT// DESAGÜE EXTERIOR APERTURA INTERIOR
11211017;IDEAL 2000 120303 ;FRAME;80;60;8;40.6;0;0;0;0;15;P06;0;1000;HAVALANDIRMA // VENTILATION HOLE// AIREACION EXTERIOR APERTURA INTERIOR
11210701;IDEAL 2000 120303 ;FRAME;80;60;50;53.6;0;0;5;25;15;P01;0;2000; SU TAHLIYE KANAL // WATER SLOT // DESAGÜE INTERIOR APERTURA EXTERIOR
11210717;IDEAL 2000 120303 ;FRAME;80;60;50;53.6;0;0;0;0;15;P06;0;1000;HAVALANDIRMA // VENTILATION HOLE// AIREACION INTERIOR APERTURA EXTERIOR
11210718;IDEAL 2000 120303 ;FRAME;80;60;26;49.5;0;0;5;25;15;P01;0;2000; SU TAHLIYE KANAL // WATER SLOT // DESAGÜE INTERIOR ESCALON APERTURA EXTERIOR
11210501;IDEAL 2000 120303 ;FRAME;80;60;09;12.5;0;0;5;25;15;P01;0;2000;SU TAHLIYE KANAL // WATER SLOT // DESAGÜE EXTERIOR APERTURA EXTERIOR
11210517;IDEAL 2000 120303 ;FRAME;80;60;09;12.5;0;0;0;0;15;P06;0;1000;HAVALANDIRMA // VENTILATION HOLE// AIREACION EXTERIOR APERTURA EXTERIOR
11210205;IDEAL 2000 120303 ;FRAME;80;60;35;30.6;0;10;0;0;15;P05;0;2000;ORTAKAYIT TAKOZ VIDA DELIGI // MULLION CONNECTOR// UNION DE TRAVESAÑO
11210705;IDEAL 2000 120303 ;FRAME;80;60;40;30.6;0;07;0;0;15;P05;0;4000;ORTAKAYIT TAKOZ VIDA DELIGI // MULLION CONNECTOR// UNION DE TRAVESAÑO
11210285;IDEAL 2000 120303 ;FRAME;80;60;10;35;0;5;0;0;15;P06;0;5000;DESTEK SACI MARK // REINFORCEMENT MARKING // MARCA DE REFUERZO
11210215;IDEAL 2000 120303 ;FRAME;80;60;40;30;0;07;0;0;15;P05;0;4000;MONTAJ DELIGI  // ASSEMBLY HOLE// BARRENO PARA FIJACION AL MURO
11210715;IDEAL 2000 120303 ;FRAME;80;60;40;30;0;07;0;0;15;P05;0;4000;MONTAJ DELIGI  // ASSEMBLY HOLE// BARRENO PARA FIJACION AL MURO
11210714;IDEAL 2000 120303 ;FRAME;80;60;25.5;53.2;0;06;0;0;15;P06;0;5000;CERRADERO ESTANDAR
11210783;IDEAL 2000 120303 ;FRAME;80;60;24;38;0;06;0;0;15;P06;0;5000;CERRADERO DE SEGURIDAD SE
11210791;IDEAL 2000 120303 ;FRAME;80;60;25;32;0;06;0;0;15;P06;0;5000;compás de proyección EDT 29MM
11210794;IDEAL 2000 120303 ;FRAME;80;60;25.5;37.5;0;06;0;0;15;P06;0;5000;compás de proyección EDT 23MM
11210790;IDEAL 2000 120303 ;FRAME;80;60;25;35;0;06;0;0;15;P06;0;5000;compás de proyección STORM PRO
11210789;IDEAL 2000 120303 ;FRAME;80;60;25;36.5;0;06;0;0;15;P06;0;5000;compás de proyección STORM PRO
